agi	family
At3g13540	MYB
AT3G13682	SWI_SNF
AT3G13810	General-C2H2
AT3G13840	GRAS
AT3G13850	General-AS2
At3g13890	MYB
AT3G13960	GRF
AT3G14020	CCAAT-HAP
AT3G14180	Trihelix
At3g14230	ERF
AT3G14740	PHD
AT3G14980	PHD
AT3G15030	TCP
At3g15170	NAC
At3g15210	ERF-2
At3g15270	SBP-box
At3g15500	At3g15500
At3g15510	NAC
AT3G15540	AUX-IAA
AT3G16160	General-CPP
At3g16280	ERF-3
At3g16350	CCA1-like
AT3G16500	AUX-IAA
AT3G16600	SNF2
At3g16770	ERF
AT3G16857	General-ARR-GARP
At3g16870	C2C2-GATA-Family
AT3G16940	General-CAMTA
At3g17010	ABI3-VP1-2
AT3G17100	bHLH
AT3G17600	unk-aux
AT3G17609	bZIP
At3g17730	NAC
AT3G17860	C2C2-GATA-Family
AT3G18010	Homeobox
At3g18100	MYB
AT3G18380	Homeobox
At3g18400	NAC
AT3G18550	TCP
AT3G18650	MADS-box
AT3G18870	mTERF
At3g18960	ABI3-VP1
At3g18990	ABI3-VP1
AT3G19070	SRS
AT3G19080	SWI_SNF
At3g19184	ABI3-VP1
AT3G19210	SNF2
AT3G19290	bZIP
AT3G19500	bHLH
AT3G19510	AT3G19510
AT3G19580	General-C2H2
At3g19860	bHLH
AT3G20010	SNF2
AT3G20280	PHD
At3g20310	ERF-2
AT3G20550	FHA
AT3G20640	bHLH
At3g20750	C2C2-GATA-Family
AT3G20770	AT3G20770
AT3G20800	Rcd1-like
AT3G20840	General-ARR-GARP
AT3G20880	General-C2H2
AT3G20910	CCAAT-HAP
AT3G21150	Orphans
At3g21175	At3g21175
AT3G21210	PHD
At3g21270	C2C2-Dof
AT3G21330	bHLH
AT3G21350	MED6
AT3G21430	MYB
AT3G21440	MYB
AT3G21880	C2C2-CO-like
AT3G21890	AT3G21890
AT3G22100	bHLH
AT3G22170	FAR1-like
AT3G22560	GNAT
AT3G22760	General-CPP
AT3G22780	General-CPP
At3g22830	HSF
AT3G23030	AUX-IAA
AT3G23050	AUX-IAA
AT3G23130	General-C2H2
AT3G23140	General-C2H2
AT3G23150	Orphans
At3g23210	bHLH
At3g23220	ERF-2
At3g23230	ERF
At3g23240	ERF-2
At3g23250	MYB
At3g23690	bHLH
AT3G24010	PHD
At3g24050	C2C2-GATA-Family
AT3G24120	AT3G24120
At3g24140	bHLH
At3g24310	MYB
AT3G24340	SNF2
AT3G24490	Trihelix
AT3G24500	MBF1
At3g24520	HSF
At3g24650	ABI3-VP1
At3g24850	ABI3-VP1
AT3G24860	Trihelix
At3g25710	bHLH
At3g25730	RAV
AT3G25790	General-G2-GARP
At3g25890	ERF
At3g25990	At3g25990
AT3G26620	AT3G26620
AT3G26660	General-AS2
At3g26744	bHLH
At3g26790	At3g26790
AT3G27010	AT3G27010
AT3G27650	General-AS2
At3g27785	MYB-2
At3g27810	MYB
At3g27920	MYB
AT3G27940	General-AS2
AT3G27970	General-C2H2
At3g28470	MYB
At3g28910	At3g28910
AT3G28920	ZF-HD
At3g29020	MYB
At3g29035	NAC
AT3G29340	General-C2H2
At3g30210	At3g30210
AT3G30260	MADS-box-2
AT3G30530	AT3G30530
AT3G42670	SNF2
AT3G42860	WRKY
AT3G43240	ARID
AT3G43440	C2C2-GATA-Family
At3g44290	NAC
At3g44350	NAC
AT3G44460	bZIP
AT3G44750	General-C2H2
AT3G45150	AT3G45150
At3g45170	C2C2-GATA-Family
AT3G45260	General-C2H2
At3g45610	C2C2-Dof
AT3G46070	AT3G46070
AT3G46080	General-C2H2
AT3G46090	General-C2H2
At3g46130	MYB
At3g46590	At3g46590
AT3G46600	GRAS
AT3G46640	General-G2-GARP
At3g46770	ABI3-VP1
AT3G46950	mTERF
At3g47500	C2C2-Dof
At3g47600	MYB
AT3G47620	TCP
AT3G47640	bHLH
AT3G47710	bHLH
AT3G47870	General-AS2
AT3G47890	General-C2H2
AT3G47910	General-C2H2
AT3G48100	Orphans
AT3G48160	E2F-DP
AT3G48360	TRAF
AT3G48590	CCAAT-HAP
AT3G48600	SWI_SNF
At3g48920	MYB
At3g49530	NAC
At3g49610	ABI3-VP1
At3g49690	MYB
AT3G49760	bZIP
At3g49850	TPB-like
AT3G49930	AT3G49930
AT3G49940	General-AS2
AT3G49950	GRAS
At3g50060	At3g50060
At3g50260	ERF
AT3G50330	bHLH
At3g50410	C2C2-Dof
AT3G50510	General-AS2
AT3G50650	GRAS
AT3G50700	General-C2H2
AT3G50750	General-BES
At3g50870	C2C2-GATA-Family
AT3G50890	ZF-HD
AT3G51060	SRS
At3g51080	C2C2-GATA-Family
AT3G51470	AT3G51470
At3g51910	HSF
AT3G51960	bZIP
AT3G52100	PHD
AT3G52250	MYB
At3g52440	C2C2-Dof
AT3G52525	OFP
AT3G52540	OFP
AT3G52910	GRF
At3g53200	MYB
At3g53310	ABI3-VP1
AT3G53340	CCAAT-HAP
AT3G53370	S1Fa-like
AT3G53600	General-C2H2
AT3G53680	PHD
At3g53790	TPB-like
AT3G53820	General-C2H2
AT3G53920	Sigma70-like
AT3G54220	GRAS
AT3G54280	SNF2
AT3G54320	ERF
AT3G54340	AT3G54340
AT3G54350	FHA
AT3G54390	Trihelix
AT3G54430	SRS
AT3G54460	SNF2
AT3G54610	GNAT
AT3G54620	bZIP
At3g54810	C2C2-GATA-Family
AT3G54990	AT3G54990
At3g55210	NAC
At3g55370	At3g55370
At3g55730	MYB
AT3G55770	LIM
AT3G56230	TRAF
AT3G56380	Orphans
AT3G56400	WRKY
At3g56520	NAC
At3g56530	NAC
At3g56560	NAC
AT3G56660	bZIP
At3g56770	bHLH
AT3G56850	bZIP
At3g56970	bHLH
At3g56980	bHLH
AT3G57040	Orphans
AT3G57130	TRAF
AT3G57230	MADS-box-2
AT3G57300	SNF2
AT3G57390	MADS-box
AT3G57480	General-C2H2
At3g57600	ERF
AT3G57670	General-C2H2
At3g57800	bHLH
At3g57920	SBP-box
AT3G57930	MADS-box-2
AT3G57980	MYB
AT3G58070	General-C2H2
AT3G58120	bZIP
AT3G58190	General-AS2
AT3G58630	Trihelix
AT3G58680	MBF1
AT3G58710	WRKY
AT3G58780	MADS-box
At3g59060	bHLH
AT3G59470	FAR1-like
AT3G59580	Nin-like
At3g60030	SBP-box
AT3G60110	MYB
AT3G60390	Homeobox
AT3G60400	mTERF
At3g60460	MYB
At3g60490	ERF-3
At3g60530	C2C2-GATA-Family
AT3G60580	AT3G60580
AT3G60630	GRAS
AT3G60670	PLATZ
AT3G61120	MADS-box-2
AT3G61150	AT3G61150
AT3G61230	LIM
At3g61250	MYB
AT3G61600	TRAF
At3g61630	ERF
AT3G61740	PHD
AT3G61830	General-ARF
At3g61850	C2C2-Dof
AT3G61890	Homeobox
At3g61910	NAC
At3g61950	bHLH
At3g61970	RAV
AT3G62090	bHLH
AT3G62100	AUX-IAA
AT3G62240	General-C2H2
AT3G62260	DBP
AT3G62340	WRKY
AT3G62420	bZIP
At3g62610	MYB
AT3G62670	General-ARR-GARP
AT3G62850	General-C2H2
At3g63350	HSF
AT3G66656	MADS-box
At4g00050	bHLH
AT4G00120	bHLH
AT4G00130	GEBP-like
AT4G00150	GRAS
AT4G00180	YABBY
AT4G00210	General-AS2
AT4G00220	General-AS2
AT4G00232	GEBP-like
AT4G00238	GEBP-like
AT4G00250	GEBP-like
At4g00260	ABI3-VP1
AT4G00270	AT4G00270
AT4G00390	GEBP-like
AT4G00480	bHLH
At4g00540	R1R2R3
AT4G00610	GEBP-like
AT4G00730	AT1G73360_AT4G00730
AT4G00760	Orphans
AT4G00850	GIF
At4g00870	bHLH
At4g00940	C2C2-Dof
At4g01060	MYB
AT4G01120	bZIP
AT4G01250	WRKY
AT4G01260	GEBP-like
At4g01280	CCA1-like
At4g01460	bHLH
At4g01500	At4g01500
At4g01520	NAC
At4g01540	At4g01540
At4g01550	NAC
At4g01580	ABI3-VP1
At4g01680	MYB
AT4G01720	WRKY
AT4G02235	MADS-box
AT4G02560	Homeobox
At4g02590	bHLH
AT4G02640	bZIP
AT4G02670	General-C2H2
At4g02870	ABI3-VP1
AT4G02990	mTERF
At4g03160	ABI3-VP1
At4g03170	ABI3-VP1
AT4G03250	Homeobox
AT4G04030	OFP
AT4G04090	TRAF
AT4G04404	General-C2H2
AT4G04450	WRKY
AT4G04580	General-G2-GARP
AT4G04885	General-C2H2
AT4G04890	PLATZ
At4g05100	MYB
AT4G05170	bHLH
At4g05630	ABI3-VP1
AT4G06598	bZIP
AT4G06634	General-C2H2
At4g06746	ERF
AT4G08150	Homeobox
AT4G08250	GRAS
AT4G08455	TRAF
At4g09180	bHLH
At4g09450	CCA1-like
At4g09460	MYB
AT4G09620	mTERF
At4g09820	bHLH
AT4G09960	MADS-box-2
AT4G10240	DBB
At4g10350	At4g10350
AT4G10600	PHD
AT4G10940	PHD
AT4G11070	WRKY
AT4G11080	AT4G11080
At4g11140	ERF
AT4G11250	MADS-box
At4g11400	ARID
At4g11660	PLATZ
AT4G11880	MADS-box-2
AT4G12020	WRKY
AT4G12240	General-C2H2
At4g12350	MYB
AT4G12620	PHD
At4g12670	At4g12670
AT4G12750	Homeobox
AT4G12850	FAR1-like
AT4G13040	ERF
At4g13480	MYB
At4g13620	ERF
AT4G13640	General-G2-GARP
At4g13980	HSF
At4g14410	bHLH
AT4G14490	FHA
AT4G14540	CCAAT-HAP
AT4G14550	AUX-IAA
AT4G14560	AUX-IAA
AT4G14605	mTERF
AT4G14700	PHD
AT4G14713	C2C2-GATA-Family
AT4G14720	C2C2-GATA-Family
AT4G14770	General-CPP
AT4G14860	OFP
AT4G14920	PHD
AT4G15090	FAR1-like
AT4G15248	Orphans
AT4G15250	C2C2-CO-like
AT4G15420	General-C2H2
AT4G16110	General-ARR-GARP
AT4G16141	C2C2-GATA-Family
AT4G16150	General-CAMTA
AT4G16310	SWI_SNF
AT4G16420	MYB
At4g16430	bHLH
AT4G16610	General-C2H2
At4g16750	ERF-3
AT4G16780	Homeobox
AT4G16845	General-C2H2
AT4G17230	GRAS
AT4G17460	Homeobox
At4g17490	ERF-2
At4g17500	ERF
At4g17570	C2C2-GATA-Family
AT4G17695	General-G2-GARP
AT4G17710	Homeobox
At4g17750	HSF
AT4G17780	MYB
At4g17785	MYB
AT4G17810	General-C2H2
At4g17880	General-BES
AT4G17900	PLATZ
At4g17980	NAC
AT4G18020	AT4G18020
AT4G18170	WRKY
AT4G18390	TCP
At4g18450	ERF-2
At4g18770	At4g18770
AT4G18830	OFP
At4g18870	HSF
At4g18880	HSF
AT4G18890	General-BES
AT4G18960	MADS-box
AT4G19000	IWS1
AT4G19630	HSF
AT4G19650	mTERF
AT4G19660	TRAF
AT4G19985	GNAT
AT4G19990	FAR1-like
AT4G20380	LSD
At4g20970	bHLH
At4g21030	C2C2-Dof
At4g21040	C2C2-Dof
At4g21050	C2C2-Dof
At4g21080	C2C2-Dof
At4g21330	bHLH
AT4G21430	Orphans
At4g21440	MYB
At4g21550	ABI3-VP1
AT4G21610	LSD
AT4G21750	Homeobox
AT4G22070	WRKY
AT4G22140	PHD
AT4G22360	SWI_SNF
At4g22680	MYB
AT4G22700	General-AS2
AT4G22950	MADS-box-2
AT4G23550	WRKY
At4g23750	ERF-2
AT4G23810	WRKY
AT4G23860	PHD
AT4G23980	General-ARF
AT4G24020	AT4G24020
At4g24060	C2C2-Dof
AT4G24150	GRF
AT4G24240	WRKY
At4g24470	At4g24470
AT4G24540	MADS-box-2
AT4G24660	ZF-HD
AT4G25210	GEBP-like
At4g25400	bHLH
At4g25410	bHLH
At4g25470	ERF-4
At4g25480	ERF-4
At4g25490	ERF
AT4G25530	Homeobox
At4g25560	MYB
AT4G25610	General-C2H2
AT4G25990	C2C2-CO-like
AT4G26030	MYB
AT4G26120	TRAF
At4g26150	C2C2-GATA-Family
AT4G26170	HRT-like
AT4G26440	WRKY
AT4G26640	WRKY
AT4G26810	SWI_SNF
At4g26930	MYB
AT4G27240	General-C2H2
AT4G27310	Orphans
AT4G27330	NZZ
At4g27410	NAC
AT4G27900	C2C2-CO-like
AT4G27910	PHD
At4g27950	ERF-2
AT4G28030	GNAT
At4g28110	MYB
At4g28140	At4g28140
AT4G28190	ULT
At4g28500	NAC
At4g28530	NAC
AT4G28610	General-G2-GARP
AT4G28640	unk-aux
At4g28790	bHLH
At4g28800	bHLH
At4g28811	bHLH
At4g28815	bHLH
AT4G29000	General-CPP
AT4G29080	AUX-IAA
AT4G29100	bHLH
At4g29230	NAC
At4g29930	bHLH
AT4G29940	Homeobox
AT4G30080	AT4G30080
AT4G30180	bHLH
AT4G30410	bHLH
AT4G30935	WRKY
At4g30980	bHLH
At4g31060	ERF
AT4G31270	Trihelix
AT4G31420	General-C2H2
AT4G31550	WRKY
At4g31610	At4g31610
At4g31615	ABI3-VP1
At4g31620	ABI3-VP1
At4g31630	ABI3-VP1
At4g31640	ABI3-VP1
At4g31650	ABI3-VP1
At4g31660	ABI3-VP1
At4g31680	ABI3-VP1
At4g31690	ABI3-VP1
AT4G31800	WRKY
AT4G31900	SNF2
AT4G31920	AT4G31920
At4g32010	ABI3-VP1
AT4G32040	TALE
AT4G32280	unk-aux
AT4G32551	LUG
AT4G32570	C2C2-GATA-Family
At4g32730	RAV-2
At4g32800	ERF-3
AT4G32880	Homeobox
At4g32890	C2C2-GATA-Family
AT4G32980	Homeobox
At4g33280	At4g33280
At4g33450	MYB
AT4G33880	bHLH
AT4G34000	bZIP
AT4G34290	SWI_SNF
At4g34400	At4g34400
At4g34410	ERF
AT4G34430	MYB
At4g34530	bHLH
AT4G34590	bZIP
AT4G34610	Homeobox
At4g34680	C2C2-GATA-Family
At4g34990	MYB
AT4G35040	bZIP
AT4G35270	Nin-like
AT4G35280	General-C2H2
AT4G35550	Homeobox
At4g35580	NAC
AT4G35590	Nin-like
AT4G35610	General-C2H2
AT4G35700	General-C2H2
AT4G35900	bZIP
AT4G36020	General-CSD
At4g36060	bHLH
At4g36160	NAC
At4g36240	C2C2-GATA-Family
AT4G36260	SRS
At4g36540	bHLH
At4g36570	I-box
AT4G36590	MADS-box
At4g36620	C2C2-GATA-Family
AT4G36710	GRAS
AT4G36730	bZIP
AT4G36740	Homeobox
AT4G36780	General-BES
AT4G36860	LIM
AT4G36870	Homeobox
At4g36900	ERF-4
AT4G36920	ERF
At4g36930	bHLH
At4g36990	HSF
AT4G37180	General-G2-GARP
At4g37260	MYB
AT4G37540	General-AS2
AT4G37580	GNAT
AT4G37610	TAZ
AT4G37650	GRAS
AT4G37670	GNAT
AT4G37730	bZIP
AT4G37740	GRF
AT4G37750	AT4G37750
At4g37780	MYB
AT4G37790	Homeobox
At4g37850	bHLH
AT4G37940	MADS-box-2
At4g38000	C2C2-Dof
At4g38070	bHLH
AT4G38160	mTERF
AT4G38170	AT4G38170
AT4G38180	FAR1-like
AT4G38340	Nin-like
At4g38620	MYB
AT4G38680	General-CSD
AT4G38900	AT4G38900
AT4G38910	BBR-BPC
AT4G38960	DBB
AT4G39070	DBB
AT4G39100	PHD
AT4G39160	MYB
At4g39250	I-box
AT4G39410	WRKY
At4g39780	ERF
AT4G40060	Homeobox
AT5G01160	General-C2H2
At5g01200	I-box
AT5G01310	bHLH
At5g01380	At5g01380
AT5G01840	OFP
AT5G01860	General-C2H2
AT5G01900	WRKY
AT5G02030	Homeobox
At5g02320	RAV-2
At5g02460	C2C2-Dof
AT5G02470	E2F-DP
AT5G02810	C2C2-CO-like
At5g02840	CCA1-like
AT5G03150	General-C2H2
AT5G03220	MED7
AT5G03415	E2F-DP
AT5G03500	MED7
AT5G03510	General-C2H2
At5g03680	Trihelix
At5g03720	HSF
AT5G03740	General-C2H2
At5g03780	TPB-like
AT5G03790	AT5G03790
At5g04100	ARID
AT5G04110	MYB
At5g04150	bHLH
AT5G04240	General-C2H2
AT5G04340	General-C2H2
AT5G04390	AT5G04390
At5g04400	NAC
At5g04410	NAC
AT5G04640	MADS-box
At5g04760	I-box
AT5G04820	OFP
AT5G05090	AT5G05090
AT5G05120	General-C2H2
AT5G05130	SNF2
At5g05410	At5g05410
AT5G05550	Trihelix
AT5G05660	NF-X1
AT5G05770	Homeobox
At5g05790	At5g05790
AT5G06070	General-C2H2
AT5G06080	General-AS2
At5g06100	MYB-2
AT5G06110	MYB
At5g06250	RAV
AT5G06500	MADS-box
AT5G06510	CCAAT-HAP
AT5G06650	General-C2H2
AT5G06710	Homeobox
AT5G06800	General-G2-GARP
AT5G06810	mTERF
AT5G06839	AT5G06839
AT5G06950	bZIP-2
AT5G06960	bZIP-2
AT5G07100	WRKY
AT5G07160	bZIP
AT5G07210	General-ARR-GARP
At5g07310	ERF
AT5G07400	FHA
At5g07580	ERF
At5g07680	NAC
At5g07690	MYB
At5g07700	MYB
AT5G07810	SNF2
AT5G07900	mTERF
AT5G08070	AT5G08070
At5g08130	bHLH
AT5G08141	bZIP
AT5G08190	CCAAT-HAP
AT5G08330	TCP
AT5G08430	SWI_SNF
At5g08520	I-box
AT5G08630	DDT
At5g08750	At5g08750
At5g08790	NAC
At5g09330	NAC
AT5G09410	General-CAMTA
At5g09460	bHLH
AT5G09740	General-C2H2
AT5G09750	bHLH
At5g09780	ABI3-VP1
AT5G09790	PHD
AT5G10030	bZIP-2
AT5G10120	General-EIL
AT5G10140	MADS-box
At5g10280	MYB
AT5G10510	AT5G10510
At5g10570	bHLH
AT5G10720	Orphans
AT5G10970	General-C2H2
At5g11050	MYB
AT5G11060	TALE
At5g11190	At5g11190
AT5G11260	AT5G11260
AT5G11270	Homeobox
AT5G11340	GNAT
At5g11510	RAV-2
At5g11590	ERF
AT5G12330	SRS
AT5G12400	PHD
AT5G12840	CCAAT-HAP
At5g12870	MYB
AT5G12980	Rcd1-like
AT5G13060	TRAF
AT5G13080	WRKY
At5g13180	NAC
AT5G13220	C2C2-GATA-Family
At5g13330	ERF
AT5G13730	Sigma70-like
AT5G13780	GNAT
AT5G13790	AT5G13790
At5g13820	TPB-like
At5g13910	ERF-3
At5g14000	NAC
AT5G14010	General-C2H2
AT5G14140	General-C2H2
AT5G14170	SWI_SNF
AT5G14280	GEBP-like
At5g14340	MYB
AT5G14370	C2C2-CO-like
At5g14490	NAC
At5g14750	MYB
AT5G14960	E2F-DP
AT5G15020	Orphans
AT5G15030	Orphans
AT5G15040	Orphans
AT5G15060	LBD
AT5G15130	WRKY
AT5G15150	Homeobox
AT5G15160	bHLH
AT5G15210	ZF-HD
At5g15310	MYB
AT5G15480	General-C2H2
AT5G15540	PHD
AT5G15770	GNAT
AT5G15800	MADS-box-2
AT5G15820	C3H
AT5G15830	bZIP
AT5G15840	C2C2-CO-like
AT5G15850	C2C2-CO-like
AT5G16470	General-C2H2
AT5G16560	AT5G16560
At5g16600	MYB
AT5G16680	PHD
At5g16770	MYB
AT5G16800	GNAT
At5g16820	At5g16820
At5g17260	NAC
AT5G17300	AT5G17300
AT5G17320	Homeobox
AT5G17430	ERF
AT5G17490	GRAS
At5g17800	MYB-2
AT5G17810	Homeobox
AT5G17890	LIM
At5g18000	ABI3-VP1-2
AT5G18037	NAC
At5g18090	ABI3-VP1-2
AT5G18240	AT5G18240
At5g18270	NAC
At5g18300	NAC
At5g18450	ERF
At5g18560	At5g18560_At4g34410
AT5G18620	SNF2
AT5G18680	TLP
At5g18830	SBP-Box
AT5G18960	FAR1-like
AT5G19280	FHA
AT5G19310	SNF2
AT5G19330	TRAF
AT5G19490	NF-YC
AT5G19650	OFP
At5g19790	ERF
AT5G19910	SOH1
AT5G20240	MADS-box
AT5G20420	SNF2
AT5G20730	General-ARF
AT5G20900	C2C2-GATA-Family
AT5G21120	General-EIL
At5g21960	ERF
AT5G22220	E2F-DP
AT5G22240	OFP
AT5G22260	PHD
At5g22290	NAC
At5g22380	NAC
AT5G22570	WRKY
AT5G22750	SNF2
AT5G22760	PHD
AT5G22890	AT5G22890
AT5G22990	AT5G22990
At5g23000	MYB
AT5G23090	CCAAT-HAP
AT5G23260	MADS-box-2
AT5G23280	TCP
At5g23650	I-box
AT5G23930	AT5G23930
At5g24050	ABI3-VP1
AT5G24110	WRKY
AT5G24120	Sigma70-like
AT5G24330	PHD
AT5G24470	C2C2-CO-like
At5g24590	NAC
AT5G24800	bZIP
AT5G24930	C2C2-CO-like
AT5G25160	General-C2H2
At5g25190	ERF
AT5G25220	Homeobox
At5g25390	ERF
At5g25470	ABI3-VP1
At5g25475	At5g25475
AT5G25790	General-CPP
At5g25810	ERF-3
At5g25830	C2C2-GATA-Family
AT5G25890	AUX-IAA
AT5G26170	WRKY
AT5G26580	MADS-box
AT5G26594	Orphans
AT5G26610	General-C2H2
AT5G26630	MADS-box
AT5G26650	MADS-box
At5g26660	MYB
At5g26805	ABI3-VP1
AT5G26870	MADS-box
AT5G26880	M-type
At5g26930	C2C2-GATA-Family
AT5G26950	MADS-box
AT5G27050	MADS-box
AT5G27070	MADS-box
AT5G27090	MADS-box
AT5G27130	MADS-box
AT5G27580	MADS-box
AT5G27610	MYB
AT5G27810	M-type
AT5G27880	General-C2H2
AT5G27910	CCAAT-HAP
AT5G27944	M-type
AT5G27960	MADS-box
AT5G28040	GEBP-like
AT5G28530	FAR1-like
AT5G28640	GIF
AT5G28650	WRKY
AT5G28770	bZIP
AT5G29000	PLATZ
At5g32460	ABI3-VP1
AT5G33210	SRS
AT5G35210	PHD
At5g35550	MYB
AT5G35610	Orphans
AT5G35750	Orphans
AT5G35770	SAP
AT5G35900	General-AS2
AT5G36670	PHD
AT5G36740	PHD
AT5G37020	General-ARF
At5g37260	CCA1-like
AT5G37415	MADS-box
AT5G38140	CCAAT-HAP
At5g38490	ABI3-VP1
At5g38500	ABI3-VP1
AT5G38620	MADS-box
AT5G38740	MADS-box
AT5G38800	bZIP
AT5G38840	FHA
At5g38860	bHLH
At5g39610	NAC
At5g39660	C2C2-Dof
At5g39690	NAC
At5g39700	MYB
AT5G39750	MADS-box
AT5G39760	ZF-HD
AT5G39810	MADS-box
At5g39820	At5g39820
AT5G40120	MADS-box
AT5G40220	MADS-box
AT5G40310	General-C2H2
At5g40330	At5g40330
At5g40350	MYB
At5g40360	MYB
At5g40430	MYB
AT5G40710	General-C2H2
At5g41020	MYB
AT5G41030	TCP
At5g41090	NAC
AT5G41200	MADS-box
At5g41315	bHLH
AT5G41380	C2C2-CO-like
AT5G41410	Homeobox
AT5G41570	WRKY
AT5G41765	GEBP-like
AT5G41920	GRAS
AT5G42520	BBR-BPC
AT5G42630	General-G2-GARP
AT5G42640	General-C2H2
At5g42700	ABI3-VP1
AT5G42820	C3H
AT5G42910	bZIP
AT5G43170	General-C2H2
AT5G43250	CCAAT-HAP
At5g43270	SBP-box
AT5G43290	WRKY
At5g43410	ERF-2
AT5G43530	SNF2
AT5G43540	General-C2H2
AT5G43620	General-C2H2
At5g43650	bHLH
AT5G43700	unk-aux
At5g43840	HSF
AT5G44080	bZIP
AT5G44160	General-C2H2
AT5G44180	Homeobox
AT5G44190	General-G2-GARP
At5g44210	ERF-3
AT5G44800	PHD
AT5G45050	WRKY
AT5G45110	TRAF
AT5G45113	mTERF
AT5G45260	WRKY
AT5G45270	WRKY
AT5G45300	General-BES
AT5G45420	MYB
AT5G45580	General-G2-GARP
At5g45710	HSF
AT5G45980	Homeobox
AT5G46010	Homeobox
AT5G46350	WRKY
At5g46590	NAC
At5g46690	bHLH
AT5G46710	PLATZ
At5g46760	bHLH
At5g46830	At5g46830
AT5G46880	Homeobox
AT5G46915	ABI3-VP1-2
At5g47140	C2C2-GATA-Family
At5g47220	ERF-2
At5g47230	ERF
AT5G47370	Homeobox
At5g47390	CCA1-like
AT5G47640	CCAAT-HAP
At5g47660	Trihelix
AT5G47670	CCAAT-HAP
AT5G47790	FHA
AT5G48150	GRAS
AT5G48250	C2C2-CO-like
AT5G48510	TRAF
At5g48560	bHLH
AT5G48670	MADS-box
AT5G48890	General-C2H2
AT5G49240	General-G2-GARP
At5g49300	At5g49300
At5g49330	MYB
AT5G49420	MADS-box
AT5G49450	bZIP
AT5G49490	MADS-box
AT5G49520	WRKY
At5g49620	MYB
At5g50080	ERF
AT5G50320	GNAT
AT5G50470	CCAAT-HAP
AT5G50480	CCAAT-HAP
AT5G50490	CCAAT-HAP
At5g50570	SBP-box
At5g50670	At5g50670
At5g50820	NAC
At5g50915	bHLH
At5g51190	At5g51190
AT5G51230	General-C2H2
AT5G51530	General-C2H2
At5g51780	bHLH
At5g51790	bHLH
AT5G51860	MADS-box-2
AT5G51870	MADS-box-2
AT5G51910	TCP
At5g51990	ERF-4
AT5G52010	General-C2H2
At5g52020	ERF
AT5G52170	AT5G52170
At5g52260	MYB
AT5G52510	GRAS
At5g52600	MYB
At5g52660	CCA1-like
AT5G52830	WRKY
AT5G53040	Nin-like
At5g53200	MYB
At5g53210	bHLH
At5g53290	ERF
AT5G53420	C2C2-CO-like
AT5G53430	PHD
AT5G53660	GRF
At5g53950	NAC
AT5G53980	Homeobox
At5g54067	ABI3-VP1
At5g54070	HSF
AT5G54180	mTERF
At5g54230	MYB
AT5G54340	General-C2H2
AT5G54470	Orphans
AT5G54630	General-C2H2
At5g54680	bHLH
At5g55020	MYB
AT5G55580	mTERF
AT5G55690	MADS-box
At5g56110	MYB
AT5G56200	General-C2H2
AT5G56270	WRKY
At5g56620	NAC
AT5G56780	HRT-like
At5g56840	At5g56840
At5g56860	C2C2-GATA-Family
AT5G56930	AT5G56930
At5g56960	bHLH
At5g57150	bHLH
AT5G57180	C2C2-CO-like
AT5G57390	ERF
AT5G57420	unk-aux
AT5G57520	General-C2H2
At5g57620	MYB
AT5G57660	C2C2-CO-like
At5g57720	ABI3-VP1
At5g58010	bHLH
AT5G58080	AT5G58080
At5g58280	ABI3-VP1
AT5G58340	MYB
AT5G58360	OFP
AT5G58610	PHD
AT5G58620	C3H
At5g58850	At5g58850
AT5G58890	MADS-box
At5g58900	At5g58900
AT5G59340	Homeobox
At5g59430	At5g59430
AT5G59450	GRAS
AT5G59570	General-G2-GARP
At5g59780	MYB
AT5G59820	General-C2H2
AT5G59990	C2C2-CO-like
AT5G60100	C2C2-CO-like
AT5G60120	AT5G60120
At5g60130	ABI3-VP1
At5g60140	ABI3-VP1
AT5G60142	ABI3-VP1
At5g60150	ABI3-VP1
At5g60200	C2C2-Dof
AT5G60410	PHD
AT5G60440	MADS-box
AT5G60450	General-ARF
AT5G60470	General-C2H2
AT5G60480	ZF-HD
AT5G60690	Homeobox
AT5G60830	bZIP
At5g60850	C2C2-Dof
At5g60890	MYB
AT5G60910	AT5G60910
AT5G60970	TCP
AT5G61190	General-C2H2
At5g61270	bHLH
AT5G61380	C2C2-CO-like
At5g61420	MYB
At5g61430	NAC
AT5G61470	General-C2H2
At5g61590	ERF
At5g61600	ERF-2
At5g61620	At5g61620
AT5G61850	AT5G61850
At5g61890	ERF
AT5G61940	General-C2H2
AT5G62000	General-ARF
At5g62020	HSF
AT5G62110	AT5G62110
AT5G62165	AT5G62165
At5g62320	MYB
At5g62380	NAC
At5g62430	C2C2-Dof
At5g62470	MYB
At5g62610	bHLH
AT5G62920	Orphans
At5g62940	C2C2-Dof
AT5G63090	General-AS2
AT5G63160	TAZ
AT5G63260	C2C2-Dof
AT5G63280	General-C2H2
At5g63420	Trihelix
AT5G63470	CCAAT-HAP
AT5G63700	SWI_SNF
At5g63790	NAC
AT5G63900	PHD
AT5G63950	SNF2
At5g64060	NAC
AT5G64220	General-CAMTA
AT5G64340	bHLH
At5g64530	NAC
AT5G64610	General-C2H2
At5g64750	ERF-2
AT5G64810	WRKY
AT5G64950	mTERF
AT5G65050	MADS-box-2
AT5G65060	MADS-box-2
AT5G65070	MADS-box-2
AT5G65080	MADS-box-2
AT5G65100	General-EIL
